,Team,variable,value,Location
1,Phoenix Suns,FreeThrow,81.6,Home
2,San Antonio Spurs,FreeThrow,77.5,Home
3,Denver Nuggets,FreeThrow,79.2,Home
4,Houston Rockets,FreeThrow,73.7,Home
5,LA Clippers,FreeThrow,83,Home
6,Washington Wizards,FreeThrow,76.3,Home
7,Indiana Pacers,FreeThrow,77.8,Home
8,Portland Trail Blazers,FreeThrow,83.1,Home
9,Boston Celtics,FreeThrow,79.5,Home
10,Toronto Raptors,FreeThrow,83,Home
11,Oklahoma City Thunder,FreeThrow,71.9,Home
12,Atlanta Hawks,FreeThrow,81.1,Home
13,Orlando Magic,FreeThrow,77.9,Home
14,Golden State Warriors,FreeThrow,79.2,Home
15,Dallas Mavericks,FreeThrow,76.9,Home
16,Miami Heat,FreeThrow,80.7,Home
17,Utah Jazz,FreeThrow,81.7,Home
18,Sacramento Kings,FreeThrow,75.5,Home
19,Brooklyn Nets,FreeThrow,80.8,Home
20,Minnesota Timberwolves,FreeThrow,77,Home
21,Chicago Bulls,FreeThrow,79.5,Home
22,Memphis Grizzlies,FreeThrow,78.2,Home
23,Milwaukee Bucks,FreeThrow,73.2,Home
24,Charlotte Hornets,FreeThrow,75.2,Home
25,Detriot Pistons,FreeThrow,74.6,Home
26,Philadelphia 76ers,FreeThrow,76.6,Home
27,Cleveland Cavaliers,FreeThrow,75.5,Home
28,Los Angeles Lakers,FreeThrow,74.5,Home
29,New York Knicks,FreeThrow,79.7,Home
30,New Orleans Pelicans,FreeThrow,73.3,Home
31,Phoenix Suns,FreeThrow,85.3,Away
32,San Antonio Spurs,FreeThrow,80.7,Away
33,Denver Nuggets,FreeThrow,81.6,Away
34,Houston Rockets,FreeThrow,74.4,Away
35,LA Clippers,FreeThrow,84.9,Away
36,Washington Wizards,FreeThrow,77.5,Away
37,Indiana Pacers,FreeThrow,80.9,Away
38,Portland Trail Blazers,FreeThrow,81.5,Away
39,Boston Celtics,FreeThrow,75.6,Away
40,Toronto Raptors,FreeThrow,80,Away
41,Oklahoma City Thunder,FreeThrow,73,Away
42,Atlanta Hawks,FreeThrow,81.3,Away
43,Orlando Magic,FreeThrow,77.2,Away
44,Golden State Warriors,FreeThrow,77.7,Away
45,Dallas Mavericks,FreeThrow,78.8,Away
46,Miami Heat,FreeThrow,77.1,Away
47,Utah Jazz,FreeThrow,77.9,Away
48,Sacramento Kings,FreeThrow,73.6,Away
49,Brooklyn Nets,FreeThrow,80,Away
50,Minnesota Timberwolves,FreeThrow,75.1,Away
51,Chicago Bulls,FreeThrow,78.7,Away
52,Memphis Grizzlies,FreeThrow,76,Away
53,Milwaukee Bucks,FreeThrow,78.7,Away
54,Charlotte Hornets,FreeThrow,77,Away
55,Detriot Pistons,FreeThrow,77.6,Away
56,Philadelphia 76ers,FreeThrow,76.9,Away
57,Cleveland Cavaliers,FreeThrow,73.1,Away
58,Los Angeles Lakers,FreeThrow,73.2,Away
59,New York Knicks,FreeThrow,77.1,Away
60,New Orleans Pelicans,FreeThrow,72.5,Away
61,Phoenix Suns,Win,0.75,Home
62,San Antonio Spurs,Win,0.389,Home
63,Denver Nuggets,Win,0.694,Home
64,Houston Rockets,Win,0.25,Home
65,LA Clippers,Win,0.722,Home
66,Washington Wizards,Win,0.528,Home
67,Indiana Pacers,Win,0.361,Home
68,Portland Trail Blazers,Win,0.556,Home
69,Boston Celtics,Win,0.583,Home
70,Toronto Raptors,Win,0.444,Home
71,Oklahoma City Thunder,Win,0.278,Home
72,Atlanta Hawks,Win,0.694,Home
73,Orlando Magic,Win,0.306,Home
74,Golden State Warriors,Win,0.694,Home
75,Dallas Mavericks,Win,0.583,Home
76,Miami Heat,Win,0.583,Home
77,Utah Jazz,Win,0.861,Home
78,Sacramento Kings,Win,0.444,Home
79,Brooklyn Nets,Win,0.778,Home
80,Minnesota Timberwolves,Win,0.361,Home
81,Chicago Bulls,Win,0.417,Home
82,Memphis Grizzlies,Win,0.5,Home
83,Milwaukee Bucks,Win,0.722,Home
84,Charlotte Hornets,Win,0.5,Home
85,Detriot Pistons,Win,0.361,Home
86,Philadelphia 76ers,Win,0.806,Home
87,Cleveland Cavaliers,Win,0.361,Home
88,Los Angeles Lakers,Win,0.583,Home
89,New York Knicks,Win,0.694,Home
90,New Orleans Pelicans,Win,0.5,Home
91,Phoenix Suns,Win,0.667,Away
92,San Antonio Spurs,Win,0.528,Away
93,Denver Nuggets,Win,0.611,Away
94,Houston Rockets,Win,0.222,Away
95,LA Clippers,Win,0.583,Away
96,Washington Wizards,Win,0.417,Away
97,Indiana Pacers,Win,0.583,Away
98,Portland Trail Blazers,Win,0.611,Away
99,Boston Celtics,Win,0.417,Away
100,Toronto Raptors,Win,0.306,Away
101,Oklahoma City Thunder,Win,0.333,Away
102,Atlanta Hawks,Win,0.444,Away
103,Orlando Magic,Win,0.278,Away
104,Golden State Warriors,Win,0.389,Away
105,Dallas Mavericks,Win,0.583,Away
106,Miami Heat,Win,0.528,Away
107,Utah Jazz,Win,0.583,Away
